 Typologie:  Urbain 
 Polluant:  Dioxyde  Azote  (NO2) 
 Unité:  microgrammes  par  m3 
 Moyennes  horaires 
 Date  [GMT+1] ;Necker
 2018-03-07  20:00 ;46.480
 2018-03-07  21:00 ;30.220
 2018-03-07  22:00 ;26.010
 2018-03-07  23:00 ;27.260
 2018-03-08  00:00 ;24.290
 2018-03-08  01:00 ;
 2018-03-08  02:00 ;23.910
 2018-03-08  03:00 ;22.470
 2018-03-08  04:00 ;32.520
 2018-03-08  05:00 ;36.920
 2018-03-08  06:00 ;62.550
 2018-03-08  07:00 ;65.420
 2018-03-08  08:00 ;61.400
 2018-03-08  09:00 ;45.430
 2018-03-08  10:00 ;35.100
 2018-03-08  11:00 ;26.970
 2018-03-08  12:00 ;26.010
 2018-03-08  13:00 ;22.000
 2018-03-08  14:00 ;32.420
 2018-03-08  15:00 ;
 2018-03-08  16:00 ;
 2018-03-08  17:00 ;44.180
 2018-03-08  18:00 ;52.510
 2018-03-08  19:00 ;34.530
 2018-03-08  20:00 ;35.190
 2018-03-08  21:00 ;28.980
 2018-03-08  22:00 ;26.870
 2018-03-08  23:00 ;20.470
 2018-03-09  00:00 ;21.710
 2018-03-09  01:00 ;41.410
 2018-03-09  02:00 ;17.600
 2018-03-09  03:00 ;32.130
 2018-03-09  04:00 ;35.290
 2018-03-09  05:00 ;52.310
 2018-03-09  06:00 ;66.090
 2018-03-09  07:00 ;60.160
 2018-03-09  08:00 ;47.530
 2018-03-09  09:00 ;43.990
 2018-03-09  10:00 ;46.000
 2018-03-09  11:00 ;38.830
 2018-03-09  12:00 ;27.540
 2018-03-09  13:00 ;26.780
 2018-03-09  14:00 ;31.850
 2018-03-09  15:00 ;30.700
 2018-03-09  16:00 ;33.470
 2018-03-09  17:00 ;35.190
 2018-03-09  18:00 ;38.640
 2018-03-09  19:00 ;39.310
 2018-03-09  20:00 ;40.840
 2018-03-09  21:00 ;31.940
 2018-03-09  22:00 ;22.570
 2018-03-09  23:00 ;28.600
 2018-03-10  00:00 ;26.490
 2018-03-10  01:00 ;
 2018-03-10  02:00 ;34.240
 2018-03-10  03:00 ;40.260
 2018-03-10  04:00 ;19.890
 2018-03-10  05:00 ;40.170
 2018-03-10  06:00 ;44.950
 2018-03-10  07:00 ;39.400
 2018-03-10  08:00 ;45.240
 2018-03-10  09:00 ;49.060
 2018-03-10  10:00 ;48.300
 2018-03-10  11:00 ;47.340
 2018-03-10  12:00 ;55.090
 2018-03-10  13:00 ;47.440
 2018-03-10  14:00 ;43.130
 2018-03-10  15:00 ;40.840
 2018-03-10  16:00 ;35.860
 2018-03-10  17:00 ;35.190
 2018-03-10  18:00 ;56.810
 2018-03-10  19:00 ;59.870
 2018-03-10  20:00 ;57.100
 2018-03-10  21:00 ;61.300
 2018-03-10  22:00 ;47.440
 2018-03-10  23:00 ;48.580
 2018-03-11  00:00 ;52.700
 2018-03-11  01:00 ;39.590
 2018-03-11  02:00 ;38.160
 2018-03-11  03:00 ;35.770
 2018-03-11  04:00 ;35.580
 2018-03-11  05:00 ;33.280
 2018-03-11  06:00 ;37.010
 2018-03-11  07:00 ;37.970
 2018-03-11  08:00 ;34.240
 2018-03-11  09:00 ;34.240
 2018-03-11  10:00 ;29.840
 2018-03-11  11:00 ;30.890
 2018-03-11  12:00 ;39.690
 2018-03-11  13:00 ;37.490
 2018-03-11  14:00 ;30.410
 2018-03-11  15:00 ;28.310
 2018-03-11  16:00 ;31.750
 2018-03-11  17:00 ;36.820
 2018-03-11  18:00 ;40.360
 2018-03-11  19:00 ;53.750
 2018-03-11  20:00 ;45.330
 2018-03-11  21:00 ;45.520
 2018-03-11  22:00 ;40.450
 2018-03-11  23:00 ;36.440
 2018-03-12  00:00 ;41.120
 2018-03-12  01:00 ;
 2018-03-12  02:00 ;33.660
 2018-03-12  03:00 ;35.960
 2018-03-12  04:00 ;36.060
 2018-03-12  05:00 ;34.330
 2018-03-12  06:00 ;49.440
 2018-03-12  07:00 ;56.330
 2018-03-12  08:00 ;45.430
 2018-03-12  09:00 ;38.060
 2018-03-12  10:00 ;32.520
 2018-03-12  11:00 ;23.620
 2018-03-12  12:00 ;18.460
 2018-03-12  13:00 ;24.010
 2018-03-12  14:00 ;19.130
 2018-03-12  15:00 ;20.940
 2018-03-12  16:00 ;27.260
 2018-03-12  17:00 ;28.310
 2018-03-12  18:00 ;37.590
 2018-03-12  19:00 ;34.330
 2018-03-12  20:00 ;20.370
 2018-03-12  21:00 ;14.920
 2018-03-12  22:00 ;13.390
 2018-03-12  23:00 ;10.620
 2018-03-13  00:00 ;9.180
 2018-03-13  01:00 ;8.510
 2018-03-13  02:00 ;8.130
 2018-03-13  03:00 ;7.650
 2018-03-13  04:00 ;9.090
 2018-03-13  05:00 ;14.440
 2018-03-13  06:00 ;27.640
 2018-03-13  07:00 ;45.620
 2018-03-13  08:00 ;55.950
 2018-03-13  09:00 ;32.420
 2018-03-13  10:00 ;27.830
 2018-03-13  11:00 ;24.580
 2018-03-13  12:00 ;22.760
 2018-03-13  13:00 ;27.260
 2018-03-13  14:00 ;
 2018-03-13  15:00 ;
 2018-03-13  16:00 ;35.580
 2018-03-13  17:00 ;39.880
 2018-03-13  18:00 ;44.180
 2018-03-13  19:00 ;44.950
 2018-03-13  20:00 ;46.000
 2018-03-13  21:00 ;46.770
 2018-03-13  22:00 ;42.180
 2018-03-13  23:00 ;29.460
 2018-03-14  00:00 ;40.450
 2018-03-14  01:00 ;
 2018-03-14  02:00 ;31.660
 2018-03-14  03:00 ;30.220
 2018-03-14  04:00 ;26.490
 2018-03-14  05:00 ;31.660
 2018-03-14  06:00 ;37.780
 2018-03-14  07:00 ;48.580
 2018-03-14  08:00 ;52.030
 2018-03-14  09:00 ;49.640
 2018-03-14  10:00 ;44.470
 2018-03-14  11:00 ;29.460
 2018-03-14  12:00 ;28.310
 2018-03-14  13:00 ;31.080
 2018-03-14  14:00 ;27.830
 2018-03-14  15:00 ;30.600
 2018-03-14  16:00 ;28.500
 2018-03-14  17:00 ;60.060
 2018-03-14  18:00 ;83.490
 2018-03-14  19:00 ;84.830
 2018-03-14  20:00 ;
